127.0.0.1 - - [13/Mar/2023:19:12:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:38 +0900] "GET /day04/img.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:39 +0900] "GET /day04/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:36 +0900] "GET /day04/img.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:36 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:36 +0900] "GET /day04/childhood.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:36 +0900] "GET /day04/adult.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:36 +0900] "GET /day04/old.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:37 +0900] "GET /day04/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:09:48 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:34:09 +0900] "GET /day04/form.html HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:34:09 +0900] "GET /day04/subscribe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:42:03 +0900] "GET /day04/form.html HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:42:03 +0900] "GET /day04/subscribe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:42:49 +0900] "GET /day04/task.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:42:49 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:43:37 +0900] "GET /day04/task.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:43:37 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 200 111864
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:44:12 +0900] "GET /day04/img.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:44:12 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:44:12 +0900] "GET /day04/childhood.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:44:12 +0900] "GET /day04/adult.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:44:12 +0900] "GET /day04/old.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:44:30 +0900] "GET /day04/img.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:45:23 +0900] "GET /day04/task.html HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:45:31 +0900] "GET /day04/task.html HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:45:40 +0900] "GET /day04/img.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:45:49 +0900] "GET /day04/img.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:47:11 +0900] "GET /day04/task.html HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:47:11 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:47:41 +0900] "GET /day04/task.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:47:52 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:48:27 +0900] "GET /day04/task.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:48:27 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:48:32 +0900] "GET /day04/task.html HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:49:41 +0900] "GET /day04/img.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:49:49 +0900] "GET /day04/task.html HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:49:49 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:50:21 +0900] "GET /day04/task.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:50:53 +0900] "GET /day04/task.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:50:53 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:51:02 +0900] "GET /day04/task.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:51:54 +0900] "GET /day04/form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:51:54 +0900] "GET /day04/subscribe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:52:33 +0900] "GET /day04/task.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:52:33 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:57:27 +0900] "GET /day04/task.html HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:57:27 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:57:43 +0900] "GET /day04/task.html HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:58:23 +0900] "GET /day04/task.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:59:44 +0900] "GET /day04/task.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:59:44 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:00:18 +0900] "GET /day04/task.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:00:32 +0900] "GET /day04/form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:00:32 +0900] "GET /day04/subscribe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:00:38 +0900] "GET /day04/task.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:00:52 +0900] "GET /day04/task.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:01:08 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:02:50 +0900] "GET /day04/task.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:02:50 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:03:05 +0900] "GET /day04/subscribe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:04:25 +0900] "GET /day04/task.html HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:06:21 +0900] "GET /day04/task.html HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:06:21 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:07:58 +0900] "GET /day04/task.html HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:09:35 +0900] "GET /day04/task.html HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:09:35 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:10:07 +0900] "GET /day04/task.html HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:10:24 +0900] "GET /day04/task.html HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:12:41 +0900] "GET /day04/task.html HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:12:41 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:13:06 +0900] "GET /day04/task.html HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:14:04 +0900] "GET /day04/task.html HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:15:24 +0900] "GET /day04/task.html HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:15:58 +0900] "GET /day04/task.html HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:15:58 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:17:28 +0900] "GET /day04/task.html HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:17:52 +0900] "GET /day04/task.html HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:17:53 +0900] "GET /day04/task.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:20:19 +0900] "GET /day04/task.html HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:20:19 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:20:20 +0900] "GET /day04/task.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:24:01 +0900] "GET /day04/task.html HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:24:30 +0900] "GET /day04/task.html HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:24:31 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:25:06 +0900] "GET /day04/task.html HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:25:07 +0900] "GET /day04/task.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:25:07 +0900] "GET /day04/task.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:25:27 +0900] "GET /day04/form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:25:27 +0900] "GET /day04/subscribe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:25:58 +0900] "GET /day04/task.html HTTP/1.1" 200 2375
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:26:20 +0900] "GET /day04/task.html HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:30:27 +0900] "GET /day04/task.html HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:30:27 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:31:34 +0900] "GET /day04/task.html HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:31:34 +0900] "GET /day04/task.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:31:34 +0900] "GET /day04/task.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:32:09 +0900] "GET /day04/task.html HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:32:17 +0900] "GET /day04/task.html HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:32:50 +0900] "GET /day04/task.html HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:33:09 +0900] "GET /day04/task.html HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:37:05 +0900] "GET /day04/task.html HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:37:05 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:37:11 +0900] "GET /day04/task.html HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:51:04 +0900] "GET /day04/task.html HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:51:04 +0900] "GET /day04/naver%EB%A1%9C%EA%B3%A0.jpg HTTP/1.1" 304 -
